Material,Material Description,Material T,Long Text,CTL,MRP group,Batch #,C/N,Product Hi,Storage Lo,Storage Bi,ABC Indica,ELV ROHS,Lead Free,Plant,Vendor,Vendor Name,CBC Code:,Prodn Supe,Purch. Gro,Profit Cen,Ctry of or,Revision L,Spl. Stock,Sales Orde,Sales Orde.1,Customer,Planning l,VMSS Indic,GPL Code,VSM Name,Global Por,Manufacture Part No,Catalog No,UOM,Unrestrict,Restricted,QC Stock,Inv Value,Safety Sto,SS %,Stock in t,Blocked St,Blocked St.1,Date of Ma,Last goods,End of lif
51-1014182-50105,Line Onderdeel,ZPTL,,A03,Z600,,,9789,PE04,,,N,N,822,,,12302,,IX4,101,IN,,,,,,AUT SHIRWAL,,350,,,,51-1014182-50105,PC,3,0,0,0.03,0,0.00,0,0.000,0.0,,,
28-1819189-00303,Core Insert,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,IN,,,,,,AUT SHIRWAL,,350,,,,28-1819189-00303,PC,2,0,0,0.02,0,0.00,0,0.000,0.0,,,
9-705451-1,1001647-2 ANL 0.17MM DIA GR1 BC,ZHLB,,A11,Z501,61981150,,8467,PE03,,C,C,X,822,,,12302,,IBY,101,MY,A,,,,,AUT SHIRWAL,,029,,,,9-705451-1,KG,0.372,0,0,480.24,0,0.00,0,0.000,0.0,08/03/2024,08/03/2024,
2066587-1,BRAIDING TUBE 10ID L 290+/-5MM (BLACK),ZHLB,,A04,Z501,30517134,,M270,PE01,,C,C,N,822,,,43113,AE9,IIS,101,DE,A,,,,,AUT SHIRWAL,,P16,,,,2066587-1,PC,"3,000",0,0,15563.04,0,0.00,0,0.000,0.0,08/12/2023,02/13/2021,
2310504-1,WH HVAC MAHLE VECV BOWDEN,ZFRT,,F03,Z200,82609751,,L727,PE01,,B,C,N,822,,,43058,AE9,,101,IN,B,,,,,AUT SHIRWAL FG,,895,,7.0,,2310504-1,PC,10,0,0,4039.7,0,0.00,0,0.000,0.0,05/02/2025,05/30/2025,
2337071-1,"2POS,FASTIN-ON 6.3,REC HSG,7123-6020",ZHLB,,A05,Z501,82685940,,L727,PE01,,C,C,N,822,,,43058,,IH0,101,IN,A,,,,,AUT SHIRWAL,,895,,,,2337071-1,PC,1,0,0,4.91,0,0.00,0,0.000,0.0,04/30/2025,04/30/2025,
1-1703494-1,"3POS, MCON 1.2 LL TAB SEALED COD A",ZFRT,,A03,Z501,44542166,,M104,PE01,,C,C,X,822,,,43101,,IH7,101,HU,B,,,,,AUT SHIRWAL,,N14,,1.0,,1-1703494-1,PC,10,0,0,87.28,0,0.00,0,0.000,0.0,05/06/2023,12/04/2023,
2208989-2,"DISCR WIRE, 0,5SQMM,GN",ZHLB,,A04,Z501,50256656,,M249,PE01,,C,C,N,822,,,43187,,IIS,101,AT,A,,,,,AUT SHIRWAL,,G03,,,,2208989-2,M,"12,000",0,0,117656.64,0,0.00,0,0.000,0.0,02/15/2024,02/15/2024,
2177909-1,MCON 0.50 TRMINAL,ZFRT,,A11,Z600,86W0001628,,M003,PE01,,C,C,N,822,,,43157,,IBY,101,DE,A,,,,,AUT SHIRWAL,,N53,,1.0,,2177909-1,PC,"16,600",0,0,9728.1,0,0.00,0,0.000,0.0,01/07/2024,01/12/2022,
1452483-3,"2WAY HF PLUG HSG 8MM,CODC",ZFRT,,F02,Z200,20435184,,W767,PE01,,C,C,X,822,,,41396,AE9,IH3,101,IN,B,,,,,AUT SHIRWAL FG,,P08,,,,1452483-3,PC,"7,200",0,0,38160.0,0,0.00,0,0.000,0.0,04/17/2019,04/17/2019,
1417688-2,Immobilizer antenna MM Iveco Heavy truck,ZFRT,,F02,Z200,83679599,,E951,PE01,,C,C,X,822,,,43061,,IBY,101,IN,B,,,,,AUT SHIRWAL FG,,K27,,7.0,,1417688-2,PC,690,0,0,46326.6,0,0.00,0,0.000,0.0,05/13/2025,05/13/2025,
1417663-4,coil carrier (bundle of sheets),ZHLB,,A05,Z501,88769883,,E951,,,A,,X,822,410922.0,ANIL PLASTICS & ENTERPRISES,43061,,IBY,101,IN,A,O,,,,AUT SHIRWAL,,K27,,,,,PC,100,0,0,118093.0,0,0.00,0,0.000,0.0,07/26/2025,07/26/2025,
2005395-1,025/090/110 HYB 18P CAP ASSY,ZFRT,,A03,Z501,250502,,M653,PE01,,C,C,X,822,,,43062,AE9,IH1,101,KR,A,,,,,AUT SHIRWAL,,NAE,,1.0,,2005395-1,PC,720,0,0,7247.84,0,0.00,0,0.000,0.0,04/30/2025,06/28/2025,
39-1819167-00117,Stopper,ZPTL,,A05,Z600,,,9789,PE04,,,N,N,822,,,12302,,IH6,101,,,,,,,AUT SHIRWAL,,350,,,,39-1819167-00117,PC,4,0,0,0.0,0,0.00,0,0.000,0.0,,,
9-1203563-2,Carton Pad 290X390 MM - 3 Ply,ZROH,,A05,Z630,87209500,,M289,PE01,,C,U,X,822,,,43186,AE9,IXF,101,IN,A,,,,,AUT SHIRWAL,,N03,,,,9-1203563-2,PC,100,0,0,432.63,0,0.00,0,0.000,0.0,07/04/2025,07/04/2025,
1-965981-8,MOD2 STIFTE MAGAZ,ZHLB,,A05,Z501,66712704,,5975,PE01,,C,C,X,822,,,30163,,IBY,101,DE,A,,,,,AUT SHIRWAL,,013,,3.0,,1-965981-8,PC,"143,057",0,0,102099.78,0,0.00,0,0.000,0.0,09/14/2024,09/14/2024,
