Plant_x,MRP Contro,Storage Ty,Storage Bi,Material,Material Description,Batch Numb,Base UOM,Local Curr,Total stock,Total Valu,Last Movem,Goods Rece,Available,Available.1,Stock Cat.,Storage Lo,Standard P,Stock Numb,Unit of is,Stor. Sec.,Price Unit,Plant_y,mat type
822,A04,1,r32-02-14,2066494-2,CLOTH TAPE 9 MM X 25 MTR-8551 Coroplast,86984700,M,INR,"64,800.000",82693.22,08/01/2025,06/30/2025,"64,800.000","64,800.000",,main,"1,276.13",,M,,"1,000",P1,RM
822,A05,1,r24-03-04,3-1203453-3,"WIRE, FLRY-A, 0.35SQMM, RED-BLACK",73481976,M,INR,"8,280.000",28798.17,12/16/2024,12/13/2024,"8,280.000","8,280.000",,main,"3,478.04",,M,,"1,000",P1,RM
822,A03,1,r12-01-03,1534150-5,"4POS,MQS,REC HSG",80183335,PC,INR,"26,400.000",67396.3,07/30/2025,07/30/2025,"26,400.000","26,400.000",,main,"2,552.89",,PC,,"1,000",P1,RM
822,A04,v03,cell3,2-1203436-2,"CABLE,4 SQMM,FLRY-B,WHITE-RED",78603937,M,INR,748.804,30137.84,07/11/2025,03/04/2025,748.804,748.804,,shop,"40,247.97",,M,,"1,000",HVAC 3,RM
822,F01,3,r39-02-13,2354643-4,"W/H WITH VCI, PADDLE",88745712,PC,INR,"1,600.000",367856.0,07/31/2025,07/28/2025,"1,600.000","1,600.000",,main,229.91,,PC,,1,P1,FG
822,A03,v01,cell1,1564148-1,"4POS, MIXED,SOCK HSG,CODA",33010153,PC,INR,0.340,1.52,12/31/2024,12/31/2024,0.340,0.340,,shop,"4,476.38",,PC,,"1,000",HVAC 1,RM
822,A07,151,kan_bin7,1-1719262-3,"1POS,FAKRA II,PLUG,PLUG HSG,Cod M",87864737,PC,INR,"4,849.000",8097.83,07/18/2025,07/15/2025,"4,849.000","4,849.000",,shop,1.67,,PC,,1,SPL CA 2,SFG
822,A11,1,r31-02-06,5069844021,CGPT-6.4/3.2-0-SP,25TR0551A,M,INR,150.000,3630.0,07/26/2025,07/01/2025,150.000,150.000,,main,24.20,,M,,1,P1,RM
822,A05,1,r04-02-06,2317849-1,"CABLE,0.35 SQMM,BK,FLRY-A,MALHOTRA",85050240,M,INR,"12,600.000",44907.91,06/17/2025,05/31/2025,"12,600.000","12,600.000",,main,"3,564.12",,M,,"1,000",P1,RM
822,A03,1,r13-02-10,1-1241196-1,"FLA-ST-GH5,8RD 3P",79899028,PC,INR,"3,600.000",105423.59,07/26/2025,07/26/2025,"3,600.000","3,600.000",,main,"29,284.33",,PC,,"1,000",P1,RM
822,A11,902,2730646616,1-2236716-2,"36POS,TAB1.5X0.64,HEADER HSG,CODB,90DEG",PA24234,PC,INR,200.000,10060.39,07/31/2025,07/31/2025,200.000,200.000,,main,"50,301.96",,PC,,"1,000",,RM
822,A04,1,r01-01-02,2300504-4,"WIRE, FLRY-A, 0.75SQMM, RED",49431698,M,INR,"1,200.000",8465.05,02/05/2024,01/15/2024,"1,200.000","1,200.000",,main,"7,054.21",,M,,"1,000",P1,RM
822,A05,1,r02-01-01,1203436-1,"WIRE,FLRY-B,4,BLACK",45273177,M,INR,300.000,11081.76,06/20/2024,06/14/2023,300.000,300.000,,main,"36,939.21",,M,,"1,000",P1,RM
822,A04,v03,cell3,1-1203453-4,WIRE FLRY-A 0.35MM2 GRAY,87479725,M,INR,"25,630.600",98283.87,07/31/2025,07/09/2025,"25,630.600","25,630.600",,shop,"3,834.63",,M,,"1,000",HVAC 3,RM
822,A05,1,r24-03-11,1203436-3,"WIRE,FLRY-B,4,RED",87511568,M,INR,"1,500.000",54773.76,07/25/2025,07/09/2025,"1,500.000","1,500.000",,main,"36,515.84",,M,,"1,000",P1,RM
822,F01,3,r36-01-05,2066801-1,6 Cyl.head cable assy. EME Volvo PT,85998413,PC,INR,20.000,15455.0,06/17/2025,06/16/2025,20.000,20.000,,main,772.75,,PC,,1,P1,FG
822,A04,1,r05-02-06,2317036-6,"DISCR WIRE,0.35 SQMM,WH,FLRY",87171132,M,INR,"14,000.000",56521.78,07/05/2025,07/03/2025,"14,000.000","14,000.000",,main,"4,037.27",,M,,"1,000",P1,RM
822,A04,v03,cell3,2066704-3,Wire FLRY-A 0.5 mm2 Violet,42696329,M,INR,242.960,1298.52,07/25/2025,01/17/2023,242.960,242.960,,shop,"5,344.57",,M,,"1,000",HVAC 3,RM
822,F01,3,fg-01,2378012-1,"WIRING HARNESS, MFS, BMW CLAR, H1",88885274,PC,INR,400.000,17148.0,07/30/2025,07/30/2025,400.000,400.000,,main,42.87,,PC,,1,P1,FG
822,A03,v05,cell5,63130-2,SPLICE REC. 1500-5000 .020 BR,25113NT,PC,INR,287.000,171.49,07/31/2025,05/28/2025,287.000,287.000,,shop,597.53,,PC,,"1,000",SPL CA 1,RM
822,A04,v10,cell10,1915742-2,"COMPOUND, RAKU-SIL 10-S 13/9-1 PART B",622174,G,INR,0.421,2.86,08/29/2023,09/25/2021,0.421,0.421,,shop,"6,783.85",,G,,"1,000",Header,RM
